experiment_id,round,agent_id,image_id,true_category,predicted_label,confidence,margin,status,pool
exp_003a,1,agent_00,frog_015,frog,slithy,0.38988,0.231787,accepted,interaction
exp_003a,1,agent_00,frog_016,frog,slithy,0.511541,0.276571,accepted,interaction
exp_003a,1,agent_00,frog_017,frog,slithy,0.646099,0.469964,accepted,interaction
exp_003a,1,agent_00,frog_018,frog,slithy,0.342465,0.224822,accepted,interaction
exp_003a,1,agent_00,frog_019,frog,slithy,0.322017,0.096127,accepted,interaction
exp_003a,1,agent_00,frog_020,frog,slithy,0.438503,0.223626,accepted,interaction
exp_003a,1,agent_00,frog_021,frog,slithy,0.526449,0.359239,accepted,interaction
exp_003a,1,agent_00,frog_022,frog,slithy,0.417814,0.165651,accepted,interaction
exp_003a,1,agent_00,frog_023,frog,slithy,0.396846,0.226501,accepted,interaction
exp_003a,1,agent_00,frog_024,frog,slithy,0.520002,0.376751,accepted,interaction
exp_003a,1,agent_00,frog_025,frog,slithy,0.525036,0.306806,accepted,interaction
exp_003a,1,agent_00,frog_026,frog,slithy,0.321894,0.25466,accepted,interaction
exp_003a,1,agent_00,frog_027,frog,slithy,0.49818,0.401241,accepted,interaction
exp_003a,1,agent_00,frog_028,frog,slithy,0.362325,0.19483,accepted,interaction
exp_003a,1,agent_00,frog_029,frog,slithy,0.419021,0.20687,accepted,interaction
exp_003a,1,agent_00,horse_015,horse,mimsy,0.533363,0.4255,accepted,interaction
exp_003a,1,agent_00,horse_016,horse,mimsy,0.398782,0.105062,rejected,interaction
exp_003a,1,agent_00,horse_017,horse,mimsy,0.680512,0.535983,accepted,interaction
exp_003a,1,agent_00,horse_018,horse,mimsy,0.61931,0.3625,accepted,interaction
exp_003a,1,agent_00,horse_019,horse,mimsy,0.529112,0.412995,accepted,interaction
exp_003a,1,agent_00,horse_020,horse,mimsy,0.456512,0.359797,accepted,interaction
exp_003a,1,agent_00,horse_021,horse,mimsy,0.583639,0.399578,accepted,interaction
exp_003a,1,agent_00,horse_022,horse,mimsy,0.671764,0.466401,accepted,interaction
exp_003a,1,agent_00,horse_023,horse,mimsy,0.712414,0.566281,accepted,interaction
exp_003a,1,agent_00,horse_024,horse,mimsy,0.618637,0.438969,accepted,interaction
exp_003a,1,agent_00,horse_025,horse,mimsy,0.619012,0.328249,accepted,interaction
exp_003a,1,agent_00,horse_026,horse,mimsy,0.602099,0.375343,accepted,interaction
exp_003a,1,agent_00,horse_027,horse,mimsy,0.466154,0.13582,accepted,interaction
exp_003a,1,agent_00,horse_028,horse,mimsy,0.622324,0.459054,accepted,interaction
exp_003a,1,agent_00,horse_029,horse,mimsy,0.508296,0.337248,accepted,interaction
